Merchant,Category,Amount,Date
Acme Corp,Salary,5200,2026-05-15
City Pension Fund,Pension,1800,2026-05-01
Vanguard,Investment Income,450,2026-05-10
Rogers,Internet,89.99,2026-05-03
Shoppers Drug Mart,Medications,42.50,2026-05-08
Toyota Finance,Car Payment,385.00,2026-05-12
TransLink,Public Transit,98.00,2026-05-01
Student Loans Canada,Loan Payment,220.00,2026-05-05
GoodLife Fitness,Gym Membership,55.00,2026-05-02
Michaels,Hobbies,68.25,2026-05-18
Whole Foods,Groceries,312.45,2026-05-06
Landlord LLC,Rent,1850,2026-05-01
Electric Company,Utilities,142.33,2026-05-04
